Page Name,URL,Scraped Content
Plan Your Visit,https://www.thefrickpittsburgh.org/plan-your-visit,"At The Frick Pittsburgh, get ready to experience art, history, and nature.To ensure you enjoy as much as possible during your visit, check ourcalendarfor all offerings and get your tickets in advance. Clayton tours are limited and do sell out!For the best experience, begin your visit at Grable Visitor Center. A Museum Experience Associate will orient you to our campus and help you purchase day-of tickets, if available.

Admission to the gardens, permanent collection of The Frick Art Museum, and a section of the Car and Carriage Museum is always free.Admission fees apply to certain special exhibitions in The Frick Art Museum, Car and Carriage Museum, and to Clayton tours.Clayton tours do sell out and advanced purchase is strongly recommended.
The Frick is approximately 20 minutes east of downtown Pittsburgh at the corner of Penn and South Homewood avenues in Point Breeze. The entrance is located on Reynolds Street where parking is available in our free lot.From downtown Pittsburgh, the Pittsburgh Airport or PA Turnpike, the Frick is reached via the Parkway East (I-376). Exit at #77–Edgewood Swissvale (take the Edgewood ramp), follow Braddock Ave. to Penn Ave. and turn left. Continue four blocks and turn left on South Homewood Ave. Proceed one long block to traffic circle (Reynolds St.) and follow signs to parking lot entrance.PUBLIC TRANSPORTATIONPittsburgh Regional Transit buses 67, 69, and 71C* provide service from downtown Pittsburgh.*Starting October 1, 2023, the 71C will terminate in Oakland and no longer serve Uptown and downtown Pittsburgh. Please plan accordingly.Learn more about the schedule changes on Pittsburgh Regional Transit's website.
Explore our museums for world-class permanent and temporary exhibitions
Learn more
Enhance your experience with a docent-led tour
Learn More
Enjoy a treat at The Café at the Frick Tuesday–Sunday, 9:30 AM–3 PM
Learn More
Visit the Museum Store for a unique and carefully curated selection of gifts
Learn More
Familiarize yourself with the Frick's visitation guidelines and policies
Learn More
We are committed to offering an inclusive experience for all visitors
Learn More
Let our staff personalize your school group visit
Learn More
Get information on scheduling a customized group visit
Learn More


Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!"
See and Do,https://www.thefrickpittsburgh.org/see-and-do,"With so much to see and do, every visit to the Frick can be different. Experience the culture and refinement of the Gilded Age in a beautiful setting no other museum in Pittsburgh can offer..

Start your visit here! Purchase tickets, shop, and learn about the Frick site.
Immerse yourself in the restored home of the Frick family.
View stunning temporary exhibitions and our permanent collection.
Explore the Frick's collection of turn of the 20th century cars and carriages.
Stroll the 10-acre campus and visit a working Greenhouse.
There’s always something going on at The Frick Pittsburgh. We offer a variety of inspiring programs and events for visitors of all ages.
Explore the many exciting programs and events offered at the Frick, from lectures, to concerts and everything in between!
The Frick is for everyone! Explore our in-person and virtual programs specially created for all ages.
Explore our museums for world-class permanent and temporary exhibitions
Learn More
Enhance your experience with a docent-led tour
Learn More
Enjoy a treat at The Café at the Frick Tuesday–Sunday, 9:30 AM–3 PM
Learn More
Visit the Museum Store for a unique and carefully curated selection of gifts
Learn More
Familiarize yourself with the Frick's visitation guidelines and policies
Learn More
We are committed to offering an inclusive experience for all visitors
Learn More
Let our staff personalize your school group visit
Learn More
Get information on scheduling a customized group visit
Learn More


Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!"
Learn,https://www.thefrickpittsburgh.org/learn,"We believe that every visit is an opportunity to learn, to be inspired and to be delighted by art, history and nature, and we offer many different opportunities to learn in ways that mean the most to you.Take a guided tour of Clayton or explore the current exhibition on your own, join us for a workshop or a lunchtime lecture, or simply walk the grounds and feel refreshed.We welcome you to visit and discover all that you can learn at the Frick.
Looking to schedule a field trip? January and February offer more flexibility in available dates. Consider scheduling a program during this time to save $2 per student.Learn more and schedule today!

Our hands-on learning programs for students K-12 are teacher friendly, address academic standards and use art, history, and nature to understand different times and contexts.  Frick programs address cross curricular standards, integrating writing, art, science and even economics to broaden student perspectives.
If you're interested in bringing your students to The Frick, our 2024-2025 School Programs Booklet is the best place to start the planning process. The booklet contains all of the information you need to plan an exciting, engaging field trip for your students, including program descriptions by grade level, lunch information, and tips for booking. By popular demand, we have also added an a la carte option that allows you to customize your own field trip experience! Download your free copy below.
If you plan to visit the Frick as a self-guided student group, please review our museum guidelines for self-guided groups ahead of your arrival.
The Frick Pittsburgh is committed to offering engaging, thoughtful student programs both online and on-site in our three museums. Our programs explore the interdisciplinary nature of the Frick—from fine art in The Frick Art Museum, to life in the gilded age in Clayton, to the history of transportation in our Car and Carriage Museum.Learn More
At the Frick we not only welcome students, but teachers too!  Throughout the year we offer teacher workshops that focus on a wide variety of art, history, and other educational topics through multidisciplinary, standards-based workshops.  These programs offer Act 48 activity hours while providing teachers with fresh and practical classroom-ready suggestions.View Programs
The Frick Pittsburgh is a wonderful place to spend time with your family.  We offer programs throughout the year that give families the opportunity to engage together in hands-on learning through museum visits, art making, and outdoor activities on our grounds. Our learning activities are for children of all ages.View Calendar

Nurture your creativity at The Frick! Young artists ages 11-14 will cultivate their imaginations with The Frick's teaching artists during monthly hands-on workshops. Each session is inspired by The Frick's museums or grounds, and includes a short tour experience followed by a guided art workshop.

Throughout the year, the Frick Pittsburgh presents a wide variety of thoughtful, enlightening, and enjoyable programs for adults. From exhibition lectures and special events to classes and workshops, Frick programming offers numerous opportunities for adults to connect with our collections, exhibitions and each other.View Calendar

We offer a variety of outreach programs for adults through local libraries, senior centers and community centers, and we also regularly host activity tables at community events throughout the city.Learn More


Art, History, Nature
Explore, imagine and create in Pittsburgh’s best backyard!Enjoy a week filled with art making and explorations throughout the Frick’s museums.  Projects and content will be adjusted to fit each grade level.


Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!"
Exhibitions,https://www.thefrickpittsburgh.org/exhibitions,"


Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!"
Support,https://www.thefrickpittsburgh.org/support,"When you make a gift to The Frick Pittsburgh, you play an essential role in our mission to continue the legacy of Helen Clay Frick by offering one of the best experiences of art, history and nature in a welcoming environment that inspires and delights.Discover the many ways that your gift to the Frick builds a lasting legacy.  Whether you’re interested in supporting a specific exhibition or program, becoming an Individual or Corporate Member, making an Annual Fund gift or including us in your estate plans, know that your gift helps us to inspire and educate audiences of all ages through world-class exhibitions, meaningful educational programming and continued care of our museum and gardens.

Enjoy the benefits of membership—free admission, exclusive member events, discounts and more. Members experience more of what makes the Frick a remarkable institution.
Experience the Frick the best way possible—as a member! Join or renew your membership online today.
By joining The Frick Societies, you are making a philanthropic gift that supports our mission and connects you with like-minded art and cultural enthusiasts through exclusive, behind-the-scenes experiences.
Give the gift of membership and share our exceptional collections with your friends and loved ones.
Like to travel? Members at the Fellow level and above receive free admission to more than 800 museums across North America with reciprocal museum benefits.
Be part of an exclusive group that influences the future of the Frick and helps maintain it as a cultural institution of the highest caliber for future generations.  Membership in The Frick Societies is available with a combined annual gift of $1,000 or more.
The Frick Societies were created to recognize your exceptional support of our mission with access to behind-the-scenes experiences, social events, and much more!
With your fully tax-deductible donation to the Frick, your gift ensures that we can showcase world-class exhibitions, engage and educate audiences of all ages, and preserve and expand our permanent collection.
Your Annual Fund gift, in any amount, makes a measurable difference.  Donate online today.
You may be able to double or even triple your support by having your employer match your gift.
Learn how you can create an enduring legacy that will help the Frick remain a vibrant cultural institution and receive personal tax and income benefits at the same time.
Name the Frick as a beneficiary of your retirement plan, life insurance policy, or commercial annuity in just three simple steps.
Perhaps the simplest and most direct way of providing for the Frick is in your estate plans and by remembering the Frick in your will.
Receive public recognition and build community goodwill by partnering with the Frick. Opportunities to get involved include a variety of Sponsorships, Corporate Membership, and the Educational Improvement Tax Credit Program (EITC).
Achieve your marketing, promotional, and client engagement objectives through sponsorship of our exhibitions, education programs and events.
Through Pennsylvania’s Educational Improvement Tax Credit Program, your contribution supports access to educational programs at the Frick.
We gratefully acknowledge our corporate supporters for investing so generously in the Frick.


Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!
Enter your Username and Password to login to your account. Don't have an account?Contact Us!"
